Name,Date,Lat,Lng,Speed(mph),Speed(km/h),Altitude(ft),Altitude(m),Accuracy,Type,Date2
Ruksana’s iPhone,2019-12-03 1:02:02 PM,,,,,26,8,65,GPS,2019-12-03 13:02:02+00:00
Ruksana’s iPhone,2019-12-03 3:29:38 PM,,,,,32,10,65,GPS,2019-12-03 15:29:38+00:00
Ruksana’s iPhone,2019-12-03 3:32:13 PM,,,,,32,10,65,GPS,2019-12-03 15:32:13+00:00
Ruksana’s iPhone,2019-12-03 3:34:21 PM,,,1,2,42,13,16,GPS,2019-12-03 15:34:21+00:00
Ruksana’s iPhone,2019-12-03 3:36:42 PM,,,,,49,15,65,GPS,2019-12-03 15:36:42+00:00
Ruksana’s iPhone,2019-12-03 3:39:12 PM,,,,,49,15,65,GPS,2019-12-03 15:39:12+00:00
Ruksana’s iPhone,2019-12-03 3:41:19 PM,,,2,3,-186,-57,32,GPS,2019-12-03 15:41:19+00:00
Ruksana’s iPhone,2019-12-03 3:43:27 PM,,,0,0,39,12,32,GPS,2019-12-03 15:43:27+00:00
Ruksana’s iPhone,2019-12-03 3:44:44 PM,,,,,42,13,65,GPS,2019-12-03 15:44:44+00:00
Ruksana’s iPhone,2019-12-03 3:46:05 PM,,,,,-82,-25,48,GPS,2019-12-03 15:46:05+00:00
Ruksana’s iPhone,2019-12-03 3:47:21 PM,,,,,36,11,32,GPS,2019-12-03 15:47:21+00:00
Ruksana’s iPhone,2019-12-03 3:50:49 PM,,,,,-72,-22,32,GPS,2019-12-03 15:50:49+00:00
Ruksana’s iPhone,2019-12-03 5:06:40 PM,,,,,26,8,20,GPS,2019-12-03 17:06:40+00:00
Ruksana’s iPhone,2019-12-03 5:08:26 PM,,,0,0,22,7,16,GPS,2019-12-03 17:08:26+00:00
Ruksana’s iPhone,2019-12-03 5:12:01 PM,,,3,5,22,7,32,GPS,2019-12-03 17:12:01+00:00
Ruksana’s iPhone,2019-12-03 5:13:54 PM,,,0,0,22,7,16,GPS,2019-12-03 17:13:54+00:00
Ruksana’s iPhone,2019-12-03 5:23:28 PM,,,,,22,7,65,GPS,2019-12-03 17:23:28+00:00
Ruksana’s iPhone,2019-12-03 5:24:44 PM,,,9,14,32,10,16,GPS,2019-12-03 17:24:44+00:00
Ruksana’s iPhone,2019-12-03 5:26:03 PM,,,,,26,8,24,GPS,2019-12-03 17:26:03+00:00
Ruksana’s iPhone,2019-12-03 5:28:05 PM,,,,,26,8,32,GPS,2019-12-03 17:28:05+00:00
Ruksana’s iPhone,2019-12-03 5:29:24 PM,,,13,21,19,6,32,GPS,2019-12-03 17:29:24+00:00
Ruksana’s iPhone,2019-12-03 5:30:43 PM,,,16,26,9,3,32,GPS,2019-12-03 17:30:43+00:00
Ruksana’s iPhone,2019-12-03 5:32:02 PM,,,0,0,16,5,32,GPS,2019-12-03 17:32:02+00:00
Ruksana’s iPhone,2019-12-03 5:33:29 PM,,,3,5,13,4,16,GPS,2019-12-03 17:33:29+00:00
Ruksana’s iPhone,2019-12-03 5:35:02 PM,,,16,26,13,4,16,GPS,2019-12-03 17:35:02+00:00
Ruksana’s iPhone,2019-12-03 5:36:22 PM,,,24,39,16,5,16,GPS,2019-12-03 17:36:22+00:00
Ruksana’s iPhone,2019-12-03 5:37:40 PM,,,,,16,5,65,GPS,2019-12-03 17:37:40+00:00
Ruksana’s iPhone,2019-12-03 5:40:11 PM,,,2,3,16,5,8,GPS,2019-12-03 17:40:11+00:00
Ruksana’s iPhone,2019-12-03 5:42:20 PM,,,2,3,16,5,6,GPS,2019-12-03 17:42:20+00:00
Ruksana’s iPhone,2019-12-03 5:42:59 PM,,,3,5,16,5,6,GPS,2019-12-03 17:42:59+00:00
Ruksana’s iPhone,2019-12-03 5:45:06 PM,,,,,3,1,48,GPS,2019-12-03 17:45:06+00:00
Ruksana’s iPhone,2019-12-03 5:46:22 PM,,,,,16,5,65,GPS,2019-12-03 17:46:22+00:00
Ruksana’s iPhone,2019-12-03 5:50:00 PM,,,2,3,13,4,48,GPS,2019-12-03 17:50:00+00:00
Ruksana’s iPhone,2019-12-03 5:52:06 PM,,,0,0,19,6,6,GPS,2019-12-03 17:52:06+00:00
